1,1693
2,1727
3,1706
4,1810
5,1810
6,1838
7,1742
8,1742
9,1826
10,1775
11,1826
12,1822
13,1842
14,1838
15,1830
16,1830
17,1842
18,1826
19,1826
20,1842
21,1830
22,1838
23,1838
24,1842
25,1826
26,1826
27,1838
28,1800
29,1826
30,1830
31,1826
32,1842
33,1826
34,1796
35,1842
36,1830
37,1830
38,1826
39,1826
40,1842
41,1842
42,1822
43,1842
44,1842
45,1842
46,1842
47,1842
48,1830
49,1842
50,1822
51,1842
52,1842
53,1838
54,1838
55,1826
56,1842
57,1838
58,1811
59,1842
60,1842
61,1826
62,1842
63,1842
64,1842
65,1842
66,1842
67,1842
68,1838
69,1842
70,1842
71,1842
72,1842
73,1838
74,1842
75,1842
76,1842
77,1830
78,1842
79,1842
80,1838
81,1842
82,1838
83,1842
84,1842
85,1811
86,1842
87,1842
88,1842
89,1842
90,1826
91,1842
92,1822
93,1842
94,1830
95,1842
96,1838
97,1842
98,1842
99,1842
100,1842
101,1842
102,1842
103,1842
104,1838
105,1842
106,1838
107,1842
108,1842
109,1838
110,1826
111,1842
112,1838
113,1842
114,1842
115,1842
116,1838
117,1842
118,1842
119,1842
120,1838
121,1838
122,1826
123,1838
124,1826
125,1842
126,1822
127,1842
128,1842
129,1838
130,1811
131,1842
132,1826
133,1826
134,1838
135,1826
136,1830
137,1830
138,1830
139,1826
140,1826
141,1830
142,1830
143,1826
144,1842
145,1830
146,1826
147,1822
148,1838
149,1842
150,1830
151,1826
152,1838
153,1842
154,1838
155,1808
156,1838
157,1842
158,1838
159,1838
160,1838
161,1842
162,1808
163,1842
164,1842
165,1842
166,1842
167,1842
168,1838
169,1842
170,1842
171,1842
172,1838
173,1842
174,1838
175,1842
176,1842
177,1842
178,1830
179,1838
180,1842
181,1838
182,1842
183,1842
184,1842
185,1842
186,1842
187,1838
188,1842
189,1838
190,1842
191,1803
192,1842
193,1838
194,1842
195,1811
196,1830
197,1824
198,1842
199,1826
200,1842
